1,A,X,I,56,823
2,B,X,L,48,833
3,B,Y,J,69,796
4,B,Z,I,47,753
5,A,Z,J,22,159
6,A,Y,I,45,519
7,B,Z,L,80,971
8,A,Z,J,31,622
9,B,Z,J,94,824
10,A,Y,J,99,645
11,A,X,K,68,223
12,A,Z,K,37,744
13,B,X,J,53,801
14,A,X,K,98,657
15,B,X,I,22,120
16,B,X,K,42,205
17,A,Y,L,22,156
18,A,Y,K,66,666
19,A,Z,J,78,176
20,B,X,J,54,439
21,A,Z,J,36,415
22,A,X,K,74,502
23,A,X,L,47,786
24,A,Y,J,50,937
25,B,X,K,74,618
26,A,X,I,66,897
27,B,Z,I,60,656
28,A,X,L,42,336
29,B,X,L,73,835
30,A,Z,L,92,407
31,B,Z,J,24,993
32,A,Z,J,75,933
33,A,X,J,74,980
34,A,Z,I,82,851
35,B,Z,K,69,404
36,A,Z,K,15,342
37,B,Z,I,54,724
38,B,Z,I,88,509
39,B,Z,K,88,360
40,A,Z,I,63,519
41,A,Y,L,63,480
42,B,Z,L,38,628
43,B,X,J,64,389
44,B,Y,J,14,430
45,B,Z,J,10,717
46,A,Y,K,23,312
47,B,X,L,76,655
48,B,X,I,10,840
49,B,X,J,14,838
50,A,Z,J,11,357
51,A,X,I,77,401
52,A,X,J,66,210
53,A,Z,J,58,947
54,B,X,K,61,657
55,A,Y,I,67,207
56,A,X,K,62,635
57,A,Y,I,15,276
58,B,Y,L,69,420
59,A,Z,K,58,387
60,B,X,L,24,348
61,A,Z,I,13,272
62,A,Z,L,11,609
63,A,X,J,18,293
64,A,Y,J,57,669
65,B,X,I,24,588
66,A,Z,J,52,971
67,B,Y,L,88,410
68,B,X,I,100,113
69,B,X,L,27,406
70,A,Z,J,35,996
71,A,Z,L,52,422
72,B,X,K,42,864
73,B,Y,L,86,879
74,B,Y,K,27,233
75,B,Y,J,86,586
76,A,Y,J,85,472
77,A,Y,J,16,539
78,A,Z,J,68,508
79,B,Y,J,13,754
80,A,Z,J,45,996
81,A,Z,L,77,139
82,A,Y,K,75,807
83,A,Y,J,43,211
84,A,X,L,44,446
85,A,Z,J,69,688
86,A,X,L,89,767
87,B,X,J,55,816
88,A,Z,L,65,384
89,A,Z,I,73,438
90,A,Y,L,90,999
91,B,Y,I,56,365
92,A,Z,I,61,911
93,A,Y,J,23,870
94,B,Z,L,33,848
95,B,X,L,46,768
96,B,Z,L,52,742
97,A,Y,L,82,142
98,B,X,J,27,106
99,B,X,J,29,618
100,A,Z,K,47,142
101,A,Z,L,46,710
102,B,Z,K,60,816
